id,name_short,name,name_long
371330,Zm. techn.vytáp.,Změny technologií vytápění-Zahr.rozvoj.spolup.,Změny technologií vytápění-Zahraniční rozvojová spolupráce
371331,Zm. techn.vytáp.,Změny technologií vytápění-Prevence soc.a krim,Změny technologií vytápění-Program sociální prevence a prevence kriminality
371332,Zm. techn.vytáp.,Změny technologií vytápění-Protidrog.politika,Změny technologií vytápění-Program protidrogové politiky
371333,Zm. techn.vytáp.,Změny technologií vytápění-Integr.romské kom.,Změny technologií vytápění-Podpora projektů integrace příslušníků romské komunity
371334,Zm. techn.vytáp.,Změny technologií vytápění-Příprava kriz.sit.,Změny technologií vytápění-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3714,Op.- ozon.vrstva,Opatř.ke snižování produkce plynů pošk.ozón.vrstvu,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu
371400,Op.- ozon.vrstva,Opatř.ke snižování produkce plynů pošk.ozón.vrstvu,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu
371430,Op.- ozon.vrstva,Opatř.ke sniž.prod.plynů pošk.ozón.vrstv-Zahr.rozvoj.spolup.,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu-Zahraniční rozvojová spolupráce
371431,Op.- ozon.vrstva,Opatř.ke sniž.prod.plynů pošk.ozón.vrstv-Prevence soc.a krim,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu-Program sociální prevence a prevence kriminality
371432,Op.- ozon.vrstva,Opatř.ke sniž.prod.plynů pošk.ozón.vrstv-Protidrog.politika,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu-Program protidrogové politiky
371433,Op.- ozon.vrstva,Opatř.ke sniž.prod.plynů pošk.ozón.vrstv-Integr.romské kom.,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu-Podpora projektů integrace příslušníků romské komunity
371434,Op.- ozon.vrstva,Opatř.ke sniž.prod.plynů pošk.ozón.vrstv-Příprava kriz.sit.,Opatření ke snižování produkce skleníkových plynů a plynů poškozujících ozónovou vrstvu-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3715,Zm.techn.-emise,Změny výr.technologií za účelem odstranění emisí,Změny výrobních technologií za účelem výrazného odstranění emisí
371500,Zm.techn.-emise,Změny výr.technologií za účelem odstranění emisí,Změny výrobních technologií za účelem výrazného odstranění emisí
371530,Zm.techn.-emise,Změny výr.techn. za účelem odstr.emisí-Zahr.rozvoj.spolup.,Změny výrobních technologií za účelem výrazného odstranění emisí-Zahraniční rozvojová spolupráce
371531,Zm.techn.-emise,Změny výr.techn. za účelem odstr.emisí-Prevence soc.a krim,Změny výrobních technologií za účelem výrazného odstranění emisí-Program sociální prevence a prevence kriminality
371532,Zm.techn.-emise,Změny výr.techn. za účelem odstr.emisí-Protidrog.politika,Změny výrobních technologií za účelem výrazného odstranění emisí-Program protidrogové politiky
371533,Zm.techn.-emise,Změny výr.techn. za účelem odstr.emisí-Integr.romské kom.,Změny výrobních technologií za účelem výrazného odstranění emisí-Podpora projektů integrace příslušníků romské komunity
371534,Zm.techn.-emise,Změny výr.techn. za účelem odstr.emisí-Příprava kriz.sit.,Změny výrobních technologií za účelem výrazného odstranění emisí-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3716,Monitor ochr.ovz,Monitoring ochrany ovzduší,Monitoring ochrany ovzduší
371600,Monitor ochr.ovz,Monitoring ochrany ovzduší,Monitoring ochrany ovzduší
371630,Monitor ochr.ovz,Monitoring ochrany ovzduší-Zahr.rozvoj.spolup.,Monitoring ochrany ovzduší-Zahraniční rozvojová spolupráce
